,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,974,0,0,0,0,0,3,2,1,0,0.9938
y:label=1,0,1128,2,0,0,0,1,4,0,0,0.9938
y:label=2,2,2,1005,1,1,0,2,13,6,0,0.9738
y:label=3,1,0,0,995,0,4,0,4,5,1,0.9851
y:label=4,0,0,0,0,972,0,1,2,0,7,0.9898
y:label=5,2,0,0,5,0,869,7,3,3,3,0.9742
y:label=6,5,2,0,0,2,1,947,0,1,0,0.9885
y:label=7,0,1,4,2,0,0,0,1017,1,3,0.9892
y:label=8,4,0,3,1,1,0,3,3,953,6,0.9784
y:label=9,2,3,1,1,5,3,0,4,1,989,0.9801
Precision,0.9838,0.9929,0.9901,0.9900,0.9908,0.9908,0.9823,0.9667,0.9814,0.9801,
F-Measures,0.9887,0.9933,0.9818,0.9875,0.9902,0.9824,0.9853,0.9778,0.9798,0.9801,
,,,,,,,,,,,
Accuracy,0.9849,,,,,,,,,,
Avg.Precision,0.9849,,,,,,,,,,
Avg.Recall,0.9847,,,,,,,,,,
Avg.F-Measures,0.9847,,,,,,,,,,
