,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,960,0,1,1,0,4,9,2,2,1,0.9795
y:label=1,0,1115,2,2,0,1,4,1,10,0,0.9823
y:label=2,12,12,912,18,11,3,12,11,37,4,0.8837
y:label=3,3,2,20,915,1,25,2,14,19,9,0.9059
y:label=4,2,1,5,0,901,1,13,2,6,51,0.9175
y:label=5,11,6,2,35,9,770,18,5,28,8,0.8632
y:label=6,11,4,7,0,7,9,914,1,5,0,0.9540
y:label=7,1,13,23,4,9,0,0,940,3,35,0.9143
y:label=8,5,12,9,18,9,26,10,9,861,15,0.8839
y:label=9,9,5,1,12,32,5,0,20,10,915,0.9068
Precision,0.9467,0.9529,0.9287,0.9104,0.9203,0.9123,0.9307,0.9353,0.8776,0.8815,
F-Measures,0.9628,0.9673,0.9056,0.9081,0.9188,0.8870,0.9422,0.9246,0.8807,0.8939,
,,,,,,,,,,,
Accuracy,0.9203,,,,,,,,,,
Avg.Precision,0.9196,,,,,,,,,,
Avg.Recall,0.9191,,,,,,,,,,
Avg.F-Measures,0.9191,,,,,,,,,,
