,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,976,0,1,0,0,1,0,0,1,1,0.9959
y:label=1,0,1130,1,2,0,0,0,2,0,0,0.9955
y:label=2,0,1,1025,1,0,0,0,3,2,0,0.9932
y:label=3,0,0,2,1002,0,4,0,1,1,0,0.9920
y:label=4,0,0,0,0,976,0,0,0,1,5,0.9938
y:label=5,1,0,0,4,0,885,1,1,0,0,0.9921
y:label=6,4,1,1,1,0,2,947,1,1,0,0.9885
y:label=7,0,1,5,0,0,0,0,1021,1,0,0.9931
y:label=8,1,0,0,1,0,2,0,0,969,1,0.9948
y:label=9,0,0,0,0,5,3,0,0,0,1001,0.9920
Precision,0.9938,0.9973,0.9903,0.9910,0.9949,0.9866,0.9989,0.9922,0.9928,0.9930,
F-Measures,0.9948,0.9963,0.9917,0.9914,0.9943,0.9893,0.9936,0.9926,0.9937,0.9924,
,,,,,,,,,,,
Accuracy,0.9932,,,,,,,,,,
Avg.Precision,0.9931,,,,,,,,,,
Avg.Recall,0.9931,,,,,,,,,,
Avg.F-Measures,0.9930,,,,,,,,,,
