,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,950,0,3,4,0,10,8,2,2,1,0.9693
y:label=1,0,1110,3,2,0,1,5,1,13,0,0.9779
y:label=2,7,5,926,24,11,3,11,8,33,4,0.8972
y:label=3,3,0,14,938,3,14,2,10,19,7,0.9287
y:label=4,1,3,7,3,912,2,7,4,5,38,0.9287
y:label=5,8,3,3,39,13,762,14,6,36,8,0.8542
y:label=6,9,2,7,1,7,10,918,1,3,0,0.9582
y:label=7,0,6,23,11,10,0,0,932,2,44,0.9066
y:label=8,6,6,6,16,9,18,8,5,888,12,0.9117
y:label=9,9,7,3,13,27,9,0,15,5,921,0.9127
Precision,0.9566,0.9719,0.9306,0.8924,0.9193,0.9191,0.9434,0.9471,0.8827,0.8898,
F-Measures,0.9629,0.9748,0.9135,0.9101,0.9239,0.8854,0.9507,0.9264,0.8969,0.9011,
,,,,,,,,,,,
Accuracy,0.9257,,,,,,,,,,
Avg.Precision,0.9253,,,,,,,,,,
Avg.Recall,0.9245,,,,,,,,,,
Avg.F-Measures,0.9246,,,,,,,,,,
