,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,975,0,0,1,0,1,2,0,1,0,0.9948
y:label=1,0,1132,3,0,0,0,0,0,0,0,0.9973
y:label=2,1,1,1018,1,2,0,0,6,3,0,0.9864
y:label=3,0,0,0,1003,0,5,0,1,1,0,0.9930
y:label=4,0,0,0,0,976,0,0,1,2,3,0.9938
y:label=5,2,0,0,6,0,883,1,0,0,0,0.9899
y:label=6,6,4,1,0,1,2,940,0,4,0,0.9812
y:label=7,0,1,6,1,0,1,0,1017,1,1,0.9892
y:label=8,4,1,2,0,1,1,0,2,960,3,0.9856
y:label=9,0,3,1,2,4,2,0,4,2,991,0.9821
Precision,0.9868,0.9912,0.9873,0.9891,0.9918,0.9865,0.9968,0.9864,0.9856,0.9929,
F-Measures,0.9907,0.9942,0.9868,0.9910,0.9927,0.9881,0.9889,0.9877,0.9856,0.9874,
,,,,,,,,,,,
Accuracy,0.9895,,,,,,,,,,
Avg.Precision,0.9894,,,,,,,,,,
Avg.Recall,0.9893,,,,,,,,,,
Avg.F-Measures,0.9893,,,,,,,,,,
