,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,951,0,4,4,0,9,7,2,3,0,0.9704
y:label=1,0,1109,3,1,0,1,4,0,17,0,0.9770
y:label=2,6,5,937,20,10,2,12,8,28,4,0.9079
y:label=3,2,0,15,935,3,14,2,11,22,6,0.9257
y:label=4,1,1,8,2,907,3,9,5,4,42,0.9236
y:label=5,7,5,4,40,12,775,15,6,24,4,0.8688
y:label=6,8,2,7,1,7,7,921,1,4,0,0.9613
y:label=7,1,6,23,12,10,1,0,935,1,39,0.9095
y:label=8,8,6,9,16,11,19,7,4,883,11,0.9065
y:label=9,9,6,3,12,25,7,0,17,4,926,0.9177
Precision,0.9577,0.9728,0.9249,0.8964,0.9208,0.9248,0.9426,0.9453,0.8919,0.8972,
F-Measures,0.9640,0.9748,0.9163,0.9108,0.9221,0.8959,0.9518,0.9270,0.8991,0.9073,
,,,,,,,,,,,
Accuracy,0.9279,,,,,,,,,,
Avg.Precision,0.9274,,,,,,,,,,
Avg.Recall,0.9268,,,,,,,,,,
Avg.F-Measures,0.9269,,,,,,,,,,
