,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,969,0,1,2,0,1,3,3,1,0,0.9887
y:label=1,0,1132,0,1,0,1,0,0,1,0,0.9973
y:label=2,3,6,979,12,9,0,2,6,12,3,0.9486
y:label=3,0,0,6,990,0,6,0,2,4,2,0.9801
y:label=4,0,0,1,0,970,0,3,1,0,7,0.9877
y:label=5,0,0,1,7,0,876,3,1,3,1,0.9820
y:label=6,7,5,0,0,3,9,934,0,0,0,0.9749
y:label=7,0,7,14,4,2,2,0,992,2,5,0.9649
y:label=8,7,1,6,4,5,0,4,10,931,6,0.9558
y:label=9,2,3,2,10,9,4,0,17,2,960,0.9514
Precision,0.9807,0.9809,0.9693,0.9611,0.9719,0.9744,0.9841,0.9612,0.9738,0.9756,
F-Measures,0.9846,0.9890,0.9588,0.9705,0.9797,0.9781,0.9794,0.9630,0.9647,0.9633,
,,,,,,,,,,,
Accuracy,0.9733,,,,,,,,,,
Avg.Precision,0.9733,,,,,,,,,,
Avg.Recall,0.9732,,,,,,,,,,
Avg.F-Measures,0.9731,,,,,,,,,,
