,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,960,0,0,2,0,6,7,3,2,0,0.9795
y:label=1,0,1114,4,1,1,1,5,0,9,0,0.9814
y:label=2,12,5,936,11,12,8,6,12,25,5,0.9069
y:label=3,2,2,15,923,1,17,3,13,29,5,0.9138
y:label=4,0,3,7,1,923,1,15,4,4,24,0.9399
y:label=5,6,4,0,33,13,783,19,6,24,4,0.8778
y:label=6,8,5,9,1,4,19,906,3,3,0,0.9457
y:label=7,2,10,20,9,10,2,0,949,3,23,0.9231
y:label=8,9,2,12,23,9,23,6,8,874,8,0.8973
y:label=9,8,8,1,13,35,2,1,26,12,903,0.8949
Precision,0.9533,0.9661,0.9322,0.9075,0.9156,0.9083,0.9359,0.9267,0.8873,0.9290,
F-Measures,0.9662,0.9736,0.9193,0.9106,0.9275,0.8927,0.9407,0.9248,0.8922,0.9116,
,,,,,,,,,,,
Accuracy,0.9271,,,,,,,,,,
Avg.Precision,0.9262,,,,,,,,,,
Avg.Recall,0.9260,,,,,,,,,,
Avg.F-Measures,0.9259,,,,,,,,,,
