,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,970,1,1,1,0,2,4,0,0,1,0.9897
y:label=1,0,1130,2,1,0,0,1,1,0,0,0.9955
y:label=2,2,3,1007,2,2,0,2,9,5,0,0.9757
y:label=3,1,0,3,996,0,4,0,3,2,1,0.9861
y:label=4,0,0,0,0,974,0,0,0,0,8,0.9918
y:label=5,2,0,0,5,0,880,5,0,0,0,0.9865
y:label=6,6,3,1,0,1,1,945,0,1,0,0.9864
y:label=7,0,1,6,1,0,0,0,1016,1,3,0.9883
y:label=8,6,0,3,1,1,1,1,3,950,8,0.9753
y:label=9,1,2,0,1,5,3,0,6,1,990,0.9811
Precision,0.9817,0.9912,0.9843,0.9880,0.9908,0.9876,0.9864,0.9788,0.9895,0.9792,
F-Measures,0.9856,0.9933,0.9799,0.9870,0.9912,0.9870,0.9864,0.9835,0.9823,0.9801,
,,,,,,,,,,,
Accuracy,0.9858,,,,,,,,,,
Avg.Precision,0.9858,,,,,,,,,,
Avg.Recall,0.9856,,,,,,,,,,
Avg.F-Measures,0.9856,,,,,,,,,,
