,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,960,1,5,0,2,5,2,1,2,2,0.9795
y:label=1,0,1124,2,1,0,1,3,0,4,0,0.9903
y:label=2,2,4,1002,5,2,0,0,9,7,1,0.9709
y:label=3,0,0,6,984,0,11,0,4,5,0,0.9742
y:label=4,0,1,1,0,960,0,5,1,4,10,0.9775
y:label=5,1,0,1,10,0,867,6,2,4,1,0.9719
y:label=6,4,4,2,0,5,3,936,0,4,0,0.9770
y:label=7,0,5,11,3,2,1,0,999,3,4,0.9717
y:label=8,4,0,6,6,3,2,1,5,938,9,0.9630
y:label=9,2,2,2,0,10,6,0,11,5,971,0.9623
Precision,0.9866,0.9851,0.9653,0.9752,0.9756,0.9676,0.9821,0.9680,0.9610,0.9729,
F-Measures,0.9830,0.9876,0.9680,0.9746,0.9765,0.9697,0.9795,0.9698,0.9619,0.9675,
,,,,,,,,,,,
Accuracy,0.9741,,,,,,,,,,
Avg.Precision,0.9739,,,,,,,,,,
Avg.Recall,0.9738,,,,,,,,,,
Avg.F-Measures,0.9738,,,,,,,,,,
