,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,977,0,0,0,0,0,0,0,3,0,0.9969
y:label=1,0,1128,2,1,0,1,2,0,1,0,0.9938
y:label=2,1,1,1019,2,1,0,0,5,2,1,0.9874
y:label=3,1,0,3,994,2,8,0,0,2,0,0.9841
y:label=4,1,0,0,0,973,0,2,0,0,6,0.9908
y:label=5,2,0,0,2,0,884,2,0,0,2,0.9910
y:label=6,3,2,1,1,5,2,943,0,1,0,0.9843
y:label=7,0,4,6,1,2,1,0,996,3,15,0.9688
y:label=8,3,0,1,4,2,2,3,1,955,3,0.9804
y:label=9,1,4,1,2,9,2,0,3,3,984,0.9752
Precision,0.9878,0.9903,0.9864,0.9870,0.9788,0.9822,0.9905,0.9910,0.9845,0.9732,
F-Measures,0.9923,0.9920,0.9868,0.9855,0.9847,0.9865,0.9873,0.9797,0.9824,0.9741,
,,,,,,,,,,,
Accuracy,0.9853,,,,,,,,,,
Avg.Precision,0.9852,,,,,,,,,,
Avg.Recall,0.9853,,,,,,,,,,
Avg.F-Measures,0.9851,,,,,,,,,,
