,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,Recall
y:label=0,977,1,0,0,0,0,0,1,1,0,0.9969
y:label=1,0,1133,0,0,0,0,1,1,0,0,0.9982
y:label=2,2,2,1013,0,1,0,3,9,2,0,0.9815
y:label=3,0,0,1,1006,0,2,0,1,0,0,0.9960
y:label=4,1,0,1,0,966,0,2,3,0,9,0.9837
y:label=5,3,0,0,8,0,875,3,0,0,3,0.9809
y:label=6,3,2,2,0,1,0,949,0,1,0,0.9906
y:label=7,0,1,2,0,0,0,0,1022,1,2,0.9941
y:label=8,3,0,2,1,0,2,2,2,959,3,0.9845
y:label=9,0,1,0,0,2,5,1,1,0,999,0.9900
Precision,0.9878,0.9938,0.9921,0.9911,0.9958,0.9898,0.9875,0.9826,0.9948,0.9832,
F-Measures,0.9923,0.9959,0.9867,0.9935,0.9897,0.9853,0.9890,0.9883,0.9896,0.9865,
,,,,,,,,,,,
Accuracy,0.9899,,,,,,,,,,
Avg.Precision,0.9899,,,,,,,,,,
Avg.Recall,0.9896,,,,,,,,,,
Avg.F-Measures,0.9897,,,,,,,,,,
